,学习率,最大树深度,最小采样叶子节点,样本采样率,最大叶子节点,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,13
1317,0.01,7,7,0.625,12,0.64506177,0.798021346,0.147826393,0.207666757,0.337872955,0.142563658,0.091696865,0.137718883,automl\GBM_AutoMl_1317
102,0.01,3,7,0.5,7,0.644847195,0.839659949,0.13581369,0.25746304,0.435145889,0.168621616,0.080983142,0.133005563,automl\GBM_AutoMl_102
1235,0.01,7,5,0.875,10,0.644809413,0.805681352,0.147388122,0.224075688,0.36138937,0.155418847,0.096581062,0.145020109,automl\GBM_AutoMl_1235
1285,0.01,7,6,0.875,10,0.644809413,0.805681352,0.147388122,0.224075688,0.36138937,0.155418847,0.096581062,0.145020109,automl\GBM_AutoMl_1285
1335,0.01,7,7,0.875,10,0.644809413,0.805681352,0.147388122,0.224075688,0.36138937,0.155418847,0.096581062,0.145020109,automl\GBM_AutoMl_1335
1385,0.01,7,8,0.875,10,0.644809413,0.805681352,0.147388122,0.224075688,0.36138937,0.155418847,0.096581062,0.145020109,automl\GBM_AutoMl_1385
1435,0.01,7,9,0.875,10,0.644809413,0.805681352,0.147388122,0.224075688,0.36138937,0.155418847,0.096581062,0.145020109,automl\GBM_AutoMl_1435
1485,0.01,7,10,0.875,10,0.644809413,0.805681352,0.147388122,0.224075688,0.36138937,0.155418847,0.096581062,0.145020109,automl\GBM_AutoMl_1485
924,0.01,6,5,0.75,9,0.644761528,0.824615462,0.145171884,0.239727064,0.362269326,0.178455933,0.092011974,0.139329596,automl\GBM_AutoMl_924
974,0.01,6,6,0.75,9,0.644761528,0.824615462,0.145171884,0.239727064,0.362269326,0.178455933,0.092011974,0.139329596,automl\GBM_AutoMl_974
1024,0.01,6,7,0.75,9,0.644761528,0.824615462,0.145171884,0.239727064,0.362269326,0.178455933,0.092011974,0.139329596,automl\GBM_AutoMl_1024
1074,0.01,6,8,0.75,9,0.644761528,0.824615462,0.145171884,0.239727064,0.362269326,0.178455933,0.092011974,0.139329596,automl\GBM_AutoMl_1074
1124,0.01,6,9,0.75,9,0.644761528,0.824615462,0.145171884,0.239727064,0.362269326,0.178455933,0.092011974,0.139329596,automl\GBM_AutoMl_1124
1174,0.01,6,10,0.75,9,0.644761528,0.824615462,0.145171884,0.239727064,0.362269326,0.178455933,0.092011974,0.139329596,automl\GBM_AutoMl_1174
765,0.01,5,8,0.625,10,0.644693242,0.80466277,0.146375844,0.25269567,0.335898104,0.211094453,0.115172522,0.17318171,automl\GBM_AutoMl_765
905,0.01,6,5,0.5,10,0.644416634,0.803307357,0.146426201,0.212205698,0.331764678,0.152426209,0.085709784,0.132991077,automl\GBM_AutoMl_905
955,0.01,6,6,0.5,10,0.644416634,0.803307357,0.146426201,0.212205698,0.331764678,0.152426209,0.085709784,0.132991077,automl\GBM_AutoMl_955
1005,0.01,6,7,0.5,10,0.644416634,0.803307357,0.146426201,0.212205698,0.331764678,0.152426209,0.085709784,0.132991077,automl\GBM_AutoMl_1005
1055,0.01,6,8,0.5,10,0.644416634,0.803307357,0.146426201,0.212205698,0.331764678,0.152426209,0.085709784,0.132991077,automl\GBM_AutoMl_1055
1118,0.01,6,9,0.625,13,0.644389216,0.789748151,0.148833691,0.24544818,0.377618454,0.16284176,0.124468253,0.182090584,automl\GBM_AutoMl_1118
1238,0.01,7,5,0.875,13,0.643877626,0.823372108,0.149133474,0.240363112,0.330056979,0.195516178,0.093902631,0.141634981,automl\GBM_AutoMl_1238
1288,0.01,7,6,0.875,13,0.643877626,0.823372108,0.149133474,0.240363112,0.330056979,0.195516178,0.093902631,0.141634981,automl\GBM_AutoMl_1288
1338,0.01,7,7,0.875,13,0.643877626,0.823372108,0.149133474,0.240363112,0.330056979,0.195516178,0.093902631,0.141634981,automl\GBM_AutoMl_1338
623,0.01,5,5,0.75,8,0.643659249,0.837229617,0.139941251,0.252226771,0.371169474,0.192755419,0.083661572,0.129575403,automl\GBM_AutoMl_623
673,0.01,5,6,0.75,8,0.643659249,0.837229617,0.139941251,0.252226771,0.371169474,0.192755419,0.083661572,0.129575403,automl\GBM_AutoMl_673
723,0.01,5,7,0.75,8,0.643659249,0.837229617,0.139941251,0.252226771,0.371169474,0.192755419,0.083661572,0.129575403,automl\GBM_AutoMl_723
