,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
3264,0.055,6,0.566666667,0.866666667,0.866666667,1,0.6,0.787415208,0.870979373,0.121212017,0.120744841,0.133568438,0.109203604,0.460059871,0.520638317,automl\Xgboost_AutoMl_3264
1504,0.01,6,0.566666667,0.733333333,1,0.6,0.8,0.74553622,0.870923382,0.158091649,0.235577479,0.245030558,0.229275427,0.447297936,0.504890628,automl\Xgboost_AutoMl_1504
3506,0.1,4,0.3,0.733333333,0.733333333,0.8,1,0.772769244,0.870911185,0.122164532,0.156396021,0.212203428,0.106169356,0.431857571,0.498726346,automl\Xgboost_AutoMl_3506
3508,0.1,4,0.3,0.733333333,0.733333333,1,0.8,0.772769244,0.870911185,0.122164532,0.156396021,0.212203428,0.106169356,0.431857571,0.498726346,automl\Xgboost_AutoMl_3508
3764,0.1,4,0.566666667,0.6,0.866666667,0.6,1,0.786232538,0.870910835,0.121233725,0.131410151,0.157700313,0.107749005,0.477706003,0.526663193,automl\Xgboost_AutoMl_3764
3768,0.1,4,0.566666667,0.6,0.866666667,1,0.6,0.786232538,0.870910835,0.121233725,0.131410151,0.157700313,0.107749005,0.477706003,0.526663193,automl\Xgboost_AutoMl_3768
5120,0.1,6,0.7,0.866666667,0.6,1,1,0.801849781,0.870845113,0.121966916,0.11956534,0.139591143,0.101542118,0.551126516,0.578086267,automl\Xgboost_AutoMl_5120
1541,0.01,6,0.566666667,0.866666667,1,0.6,1,0.760495382,0.870812442,0.155412237,0.211058735,0.225731147,0.201277127,0.483850638,0.537640056,automl\Xgboost_AutoMl_1541
1545,0.01,6,0.566666667,0.866666667,1,1,0.6,0.760495382,0.870812442,0.155412237,0.211058735,0.225731147,0.201277127,0.483850638,0.537640056,automl\Xgboost_AutoMl_1545
50,0.01,4,0.3,0.733333333,0.733333333,0.8,1,0.69035292,0.870804883,0.155224217,0.26883509,0.374619026,0.215943122,0.234599023,0.314666103,automl\Xgboost_AutoMl_50
52,0.01,4,0.3,0.733333333,0.733333333,1,0.8,0.69035292,0.870804883,0.155224217,0.26883509,0.374619026,0.215943122,0.234599023,0.314666103,automl\Xgboost_AutoMl_52
194,0.01,4,0.433333333,0.733333333,0.733333333,0.8,1,0.69035292,0.870804883,0.155224217,0.26883509,0.374619026,0.215943122,0.234599023,0.314666103,automl\Xgboost_AutoMl_194
196,0.01,4,0.433333333,0.733333333,0.733333333,1,0.8,0.69035292,0.870804883,0.155224217,0.26883509,0.374619026,0.215943122,0.234599023,0.314666103,automl\Xgboost_AutoMl_196
