,学习率,叶子节点数量,叶子节点最小样本数量,子采样率,特征采样率,最大深度,max_bin,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,15,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,24
7346,0.125,9,14,0.8,0.3,9,100,0.887282287,0.948438381,0.098066811,0.151763328,0.104452055,0.167693919,0.916338428,0.813199105,automl\lightGBM_AutoMl2021_7346,0.840595852,0.921934548,0.103222262,0.170541474,0.107270327,0.182082322,0.755450032,0.747224594,automl\lightGBM_AutoMl2023_7346
7349,0.125,9,14,0.8,0.3,11,100,0.887282287,0.948438381,0.098066811,0.151763328,0.104452055,0.167693919,0.916338428,0.813199105,automl\lightGBM_AutoMl2021_7349,0.840595852,0.921934548,0.103222262,0.170541474,0.107270327,0.182082322,0.755450032,0.747224594,automl\lightGBM_AutoMl2023_7349
7385,0.125,9,14,1,0.3,8,100,0.887282287,0.948438381,0.098066811,0.151763328,0.104452055,0.167693919,0.916338428,0.813199105,automl\lightGBM_AutoMl2021_7385,0.840595852,0.921934548,0.103222262,0.170541474,0.107270327,0.182082322,0.755450032,0.747224594,automl\lightGBM_AutoMl2023_7385
7388,0.125,9,14,1,0.3,9,100,0.887282287,0.948438381,0.098066811,0.151763328,0.104452055,0.167693919,0.916338428,0.813199105,automl\lightGBM_AutoMl2021_7388,0.840595852,0.921934548,0.103222262,0.170541474,0.107270327,0.182082322,0.755450032,0.747224594,automl\lightGBM_AutoMl2023_7388
7391,0.125,9,14,1,0.3,11,100,0.887282287,0.948438381,0.098066811,0.151763328,0.104452055,0.167693919,0.916338428,0.813199105,automl\lightGBM_AutoMl2021_7391,0.840595852,0.921934548,0.103222262,0.170541474,0.107270327,0.182082322,0.755450032,0.747224594,automl\lightGBM_AutoMl2023_7391
338,0.95,9,12,0.6,0.5,4,100,0.88706394,0.956522345,0.092131789,0.143533937,0.103331817,0.159044047,0.92736726,0.777491579,automl\lightGBM_AutoMl2021_338,0.822090144,0.904292523,0.093470256,0.116275168,0.198021346,0.096041294,0.77034319,0.66567192,automl\lightGBM_AutoMl2023_338
380,0.95,9,12,0.7,0.5,4,100,0.88706394,0.956522345,0.092131789,0.143533937,0.103331817,0.159044047,0.92736726,0.777491579,automl\lightGBM_AutoMl2021_380,0.822090144,0.904292523,0.093470256,0.116275168,0.198021346,0.096041294,0.77034319,0.66567192,automl\lightGBM_AutoMl2023_380
422,0.95,9,12,0.8,0.5,4,100,0.88706394,0.956522345,0.092131789,0.143533937,0.103331817,0.159044047,0.92736726,0.777491579,automl\lightGBM_AutoMl2021_422,0.822090144,0.904292523,0.093470256,0.116275168,0.198021346,0.096041294,0.77034319,0.66567192,automl\lightGBM_AutoMl2023_422
464,0.95,9,12,1,0.5,4,100,0.88706394,0.956522345,0.092131789,0.143533937,0.103331817,0.159044047,0.92736726,0.777491579,automl\lightGBM_AutoMl2021_464,0.822090144,0.904292523,0.093470256,0.116275168,0.198021346,0.096041294,0.77034319,0.66567192,automl\lightGBM_AutoMl2023_464
8270,0.125,10,19,0.6,0.3,9,100,0.886292406,0.951259754,0.097947528,0.152971065,0.103570529,0.169557679,0.911296676,0.809687128,automl\lightGBM_AutoMl2021_8270,0.833353146,0.916730463,0.107443159,0.172408288,0.10341625,0.184579932,0.732139003,0.734517107,automl\lightGBM_AutoMl2023_8270
8273,0.125,10,19,0.6,0.3,11,100,0.886292406,0.951259754,0.097947528,0.152971065,0.103570529,0.169557679,0.911296676,0.809687128,automl\lightGBM_AutoMl2021_8273,0.833353146,0.916730463,0.107443159,0.172408288,0.10341625,0.184579932,0.732139003,0.734517107,automl\lightGBM_AutoMl2023_8273
8312,0.125,10,19,0.7,0.3,9,100,0.886292406,0.951259754,0.097947528,0.152971065,0.103570529,0.169557679,0.911296676,0.809687128,automl\lightGBM_AutoMl2021_8312,0.833353146,0.916730463,0.107443159,0.172408288,0.10341625,0.184579932,0.732139003,0.734517107,automl\lightGBM_AutoMl2023_8312
8315,0.125,10,19,0.7,0.3,11,100,0.886292406,0.951259754,0.097947528,0.152971065,0.103570529,0.169557679,0.911296676,0.809687128,automl\lightGBM_AutoMl2021_8315,0.833353146,0.916730463,0.107443159,0.172408288,0.10341625,0.184579932,0.732139003,0.734517107,automl\lightGBM_AutoMl2023_8315
8354,0.125,10,19,0.8,0.3,9,100,0.886292406,0.951259754,0.097947528,0.152971065,0.103570529,0.169557679,0.911296676,0.809687128,automl\lightGBM_AutoMl2021_8354,0.833353146,0.916730463,0.107443159,0.172408288,0.10341625,0.184579932,0.732139003,0.734517107,automl\lightGBM_AutoMl2023_8354
8357,0.125,10,19,0.8,0.3,11,100,0.886292406,0.951259754,0.097947528,0.152971065,0.103570529,0.169557679,0.911296676,0.809687128,automl\lightGBM_AutoMl2021_8357,0.833353146,0.916730463,0.107443159,0.172408288,0.10341625,0.184579932,0.732139003,0.734517107,automl\lightGBM_AutoMl2023_8357
8396,0.125,10,19,1,0.3,9,100,0.886292406,0.951259754,0.097947528,0.152971065,0.103570529,0.169557679,0.911296676,0.809687128,automl\lightGBM_AutoMl2021_8396,0.833353146,0.916730463,0.107443159,0.172408288,0.10341625,0.184579932,0.732139003,0.734517107,automl\lightGBM_AutoMl2023_8396
8399,0.125,10,19,1,0.3,11,100,0.886292406,0.951259754,0.097947528,0.152971065,0.103570529,0.169557679,0.911296676,0.809687128,automl\lightGBM_AutoMl2021_8399,0.833353146,0.916730463,0.107443159,0.172408288,0.10341625,0.184579932,0.732139003,0.734517107,automl\lightGBM_AutoMl2023_8399
2030,0.95,11,12,0.6,0.5,8,100,0.885725052,0.949483251,0.085181382,0.111441054,0.067509804,0.125480408,0.854261856,0.774737444,automl\lightGBM_AutoMl2021_2030,0.791569892,0.880627838,0.097819449,0.091082948,0.140113131,0.081149355,0.615799698,0.582007344,automl\lightGBM_AutoMl2023_2030
