,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
1957,0.2,6,0.5,0.5,0.8,0.8,0.8,0.799166134,0.879001065,0.12000904,0.138728686,0.136925769,0.13923777,0.694262295,0.617396939,automl\Xgboost_AutoMl_1957
739,0.1,4,0.5,0.5,0.8,0.5,0.8,0.792954728,0.912309426,0.098485329,0.117177515,0.133134172,0.114291267,0.576867031,0.617348928,automl\Xgboost_AutoMl_739
1983,0.2,6,0.5,0.8,0.8,0.8,0.5,0.803143762,0.878279942,0.129552594,0.153048232,0.167596061,0.147782637,0.773679417,0.617100102,automl\Xgboost_AutoMl_1983
688,0.075,6,1.1,0.8,0.8,0.8,0.8,0.813810647,0.895218293,0.103174922,0.091393982,0.042638224,0.101454125,0.607832423,0.617020293,automl\Xgboost_AutoMl_688
1758,0.2,5,0.5,1,0.5,0.8,0.5,0.800548826,0.875420244,0.120958105,0.133585948,0.111904853,0.139375954,0.677322404,0.616999212,automl\Xgboost_AutoMl_1758
184,0.075,4,1.1,0.5,1,0.8,0.8,0.798811878,0.906526823,0.099184385,0.114179057,0.094578848,0.117737086,0.577322404,0.616964329,automl\Xgboost_AutoMl_184
982,0.1,5,0.5,0.5,0.8,0.5,0.8,0.796151247,0.908786361,0.097690996,0.102524807,0.116865358,0.100017449,0.568579235,0.616623043,automl\Xgboost_AutoMl_982
1264,0.1,6,0.5,0.8,1,0.8,0.8,0.799493081,0.862127884,0.116428279,0.114880704,0.053411144,0.127369362,0.603278689,0.616272038,automl\Xgboost_AutoMl_1264
356,0.075,5,0.8,0.8,0.5,0.8,1,0.796235044,0.902173808,0.100917143,0.110419543,0.09632321,0.112868908,0.566757741,0.616138614,automl\Xgboost_AutoMl_356
358,0.075,5,0.8,0.8,0.5,1,0.8,0.796235044,0.902173808,0.100917143,0.110419543,0.09632321,0.112868908,0.566757741,0.616138614,automl\Xgboost_AutoMl_358
1774,0.2,5,0.5,1,1,0.5,0.8,0.809598762,0.899728411,0.103481952,0.105874892,0.118936697,0.102455429,0.670309654,0.615848046,automl\Xgboost_AutoMl_1774
1173,0.1,5,1.1,0.8,0.8,0.8,0.5,0.803727203,0.884889174,0.123471422,0.145192833,0.108341703,0.155818319,0.698724954,0.615755046,automl\Xgboost_AutoMl_1173
588,0.075,6,0.8,0.5,1,0.8,0.5,0.804255519,0.89838222,0.104248584,0.107622588,0.111318855,0.106770041,0.634881603,0.615459321,automl\Xgboost_AutoMl_588
1092,0.1,5,0.8,0.8,0.8,0.8,0.5,0.807701093,0.886809602,0.114807721,0.121442792,0.075936796,0.132796012,0.656193078,0.615391186,automl\Xgboost_AutoMl_1092
1919,0.2,5,1.1,1,0.5,0.5,1,0.804929367,0.879988103,0.131759527,0.157903568,0.156557887,0.158403431,0.780418944,0.61539014,automl\Xgboost_AutoMl_1919
1923,0.2,5,1.1,1,0.5,1,0.5,0.804929367,0.879988103,0.131759527,0.157903568,0.156557887,0.158403431,0.780418944,0.61539014,automl\Xgboost_AutoMl_1923
461,0.075,5,1.1,1,0.5,0.5,1,0.805343564,0.888205813,0.116565033,0.127073633,0.080616016,0.138521383,0.65273224,0.615378011,automl\Xgboost_AutoMl_461
465,0.075,5,1.1,1,0.5,1,0.5,0.805343564,0.888205813,0.116565033,0.127073633,0.080616016,0.138521383,0.65273224,0.615378011,automl\Xgboost_AutoMl_465
347,0.075,5,0.8,0.5,1,0.8,1,0.806351687,0.902805995,0.100188912,0.091813847,0.077957229,0.094488555,0.589981785,0.615282329,automl\Xgboost_AutoMl_347
349,0.075,5,0.8,0.5,1,1,0.8,0.806351687,0.902805995,0.100188912,0.091813847,0.077957229,0.094488555,0.589981785,0.615282329,automl\Xgboost_AutoMl_349
344,0.075,5,0.8,0.5,1,0.5,1,0.797839563,0.886113639,0.108966712,0.114742622,0.08084943,0.121298887,0.590346084,0.615136418,automl\Xgboost_AutoMl_344
348,0.075,5,0.8,0.5,1,1,0.5,0.797839563,0.886113639,0.108966712,0.114742622,0.08084943,0.121298887,0.590346084,0.615136418,automl\Xgboost_AutoMl_348
1292,0.1,6,0.5,1,1,0.8,1,0.809235709,0.885293605,0.104390207,0.088748756,0.072865881,0.092230781,0.621129326,0.614996168,automl\Xgboost_AutoMl_1292
1294,0.1,6,0.5,1,1,1,0.8,0.809235709,0.885293605,0.104390207,0.088748756,0.072865881,0.092230781,0.621129326,0.614996168,automl\Xgboost_AutoMl_1294
1577,0.2,4,0.8,0.8,0.8,0.5,1,0.807461171,0.883276851,0.108323073,0.098090138,0.055463515,0.106976406,0.608378871,0.614988032,automl\Xgboost_AutoMl_1577
1581,0.2,4,0.8,0.8,0.8,1,0.5,0.807461171,0.883276851,0.108323073,0.098090138,0.055463515,0.106976406,0.608378871,0.614988032,automl\Xgboost_AutoMl_1581
2147,0.2,6,1.1,0.8,0.8,0.8,1,0.802960522,0.887736858,0.115351621,0.128822934,0.155505564,0.120683514,0.714936248,0.614770146,automl\Xgboost_AutoMl_2147
2149,0.2,6,1.1,0.8,0.8,1,0.8,0.802960522,0.887736858,0.115351621,0.128822934,0.155505564,0.120683514,0.714936248,0.614770146,automl\Xgboost_AutoMl_2149
1803,0.2,5,0.8,0.5,1,0.8,0.5,0.807381376,0.882893774,0.112125498,0.107883498,0.107803446,0.107904853,0.674499089,0.614707835,automl\Xgboost_AutoMl_1803
641,0.075,6,0.8,1,1,0.5,1,0.805143279,0.871340386,0.108696837,0.09491105,0.042380999,0.105109671,0.590801457,0.614706718,automl\Xgboost_AutoMl_641
645,0.075,6,0.8,1,1,1,0.5,0.805143279,0.871340386,0.108696837,0.09491105,0.042380999,0.105109671,0.590801457,0.614706718,automl\Xgboost_AutoMl_645
706,0.075,6,1.1,1,0.5,0.8,0.8,0.806913368,0.886397122,0.115671464,0.121031759,0.073663733,0.132656622,0.650819672,0.61463037,automl\Xgboost_AutoMl_706
1319,0.1,6,0.8,0.5,1,0.8,1,0.814079058,0.89709044,0.101280534,0.083108282,0.04341076,0.091142204,0.600637523,0.614545963,automl\Xgboost_AutoMl_1319
1321,0.1,6,0.8,0.5,1,1,0.8,0.814079058,0.89709044,0.101280534,0.083108282,0.04341076,0.091142204,0.600637523,0.614545963,automl\Xgboost_AutoMl_1321
254,0.075,5,0.5,0.5,0.8,0.5,1,0.80894368,0.889964786,0.107934447,0.102662085,0.070708971,0.109943714,0.630601093,0.614401704,automl\Xgboost_AutoMl_254
258,0.075,5,0.5,0.5,0.8,1,0.5,0.80894368,0.889964786,0.107934447,0.102662085,0.070708971,0.109943714,0.630601093,0.614401704,automl\Xgboost_AutoMl_258
1106,0.1,5,0.8,0.8,1,1,1,0.807523035,0.890060033,0.100487174,0.086174978,0.057373956,0.091642468,0.584972678,0.614141607,automl\Xgboost_AutoMl_1106
1074,0.1,5,0.8,0.5,1,0.8,0.5,0.800537755,0.889830214,0.102480356,0.093748595,0.089075715,0.094635148,0.584699454,0.61400153,automl\Xgboost_AutoMl_1074
1661,0.2,4,1.1,0.8,0.8,0.8,1,0.806451146,0.887143553,0.107583849,0.097702386,0.08527582,0.100514383,0.628233151,0.613892226,automl\Xgboost_AutoMl_1661
1663,0.2,4,1.1,0.8,0.8,1,0.8,0.806451146,0.887143553,0.107583849,0.097702386,0.08527582,0.100514383,0.628233151,0.613892226,automl\Xgboost_AutoMl_1663
2038,0.2,6,0.8,0.5,0.8,0.8,0.8,0.806176672,0.888484454,0.11180606,0.119195755,0.131545402,0.115626682,0.69726776,0.613855035,automl\Xgboost_AutoMl_2038
1418,0.1,6,1.1,0.8,0.8,0.8,1,0.805730673,0.881599784,0.115185052,0.118202691,0.084993627,0.126585594,0.657559199,0.613606425,automl\Xgboost_AutoMl_1418
1420,0.1,6,1.1,0.8,0.8,1,0.8,0.805730673,0.881599784,0.115185052,0.118202691,0.084993627,0.126585594,0.657559199,0.613606425,automl\Xgboost_AutoMl_1420
725,0.075,6,1.1,1,1,0.8,1,0.807143956,0.875216819,0.106371516,0.08255435,0.051266007,0.088759764,0.594535519,0.613303269,automl\Xgboost_AutoMl_725
727,0.075,6,1.1,1,1,1,0.8,0.807143956,0.875216819,0.106371516,0.08255435,0.051266007,0.088759764,0.594535519,0.613303269,automl\Xgboost_AutoMl_727
