,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
105,0.15,4,1.5,1,0.3,1,0.5,0.862692395,0.935432739,0.083689666,0.118136059,0.130515258,0.115183543,0.80428051,0.768782102,automl\Xgboost_AutoMl_105
1130,0.3,6,1.1,0.5,0.3,0.8,1,0.862558102,0.930519469,0.09277681,0.112601554,0.101996364,0.115922412,0.838979964,0.713223908,automl\Xgboost_AutoMl_1130
1132,0.3,6,1.1,0.5,0.3,1,0.8,0.862558102,0.930519469,0.09277681,0.112601554,0.101996364,0.115922412,0.838979964,0.713223908,automl\Xgboost_AutoMl_1132
137,0.15,5,0.8,1,0.3,0.5,1,0.86249061,0.932180057,0.092534221,0.120888058,0.069638802,0.132981584,0.778415301,0.747409383,automl\Xgboost_AutoMl_137
141,0.15,5,0.8,1,0.3,1,0.5,0.86249061,0.932180057,0.092534221,0.120888058,0.069638802,0.132981584,0.778415301,0.747409383,automl\Xgboost_AutoMl_141
229,0.15,6,0.8,0.5,0.3,0.8,0.8,0.862431668,0.928642218,0.091535322,0.108439035,0.050543038,0.12274147,0.770673953,0.725791234,automl\Xgboost_AutoMl_229
804,0.2,7,1.1,0.5,0.3,0.8,0.5,0.862194749,0.933389357,0.085981961,0.103508237,0.080864351,0.108962584,0.773679417,0.73645427,automl\Xgboost_AutoMl_804
143,0.15,5,0.8,1,0.3,1,1,0.862182909,0.923050117,0.097556607,0.122990591,0.053677494,0.141150308,0.794535519,0.729736512,automl\Xgboost_AutoMl_143
327,0.15,7,0.8,0.5,0.5,0.8,0.5,0.862116743,0.920216897,0.099582267,0.122504094,0.049544061,0.14184372,0.796357013,0.72775697,automl\Xgboost_AutoMl_327
536,0.2,4,1.5,1,0.3,0.8,1,0.862097797,0.922037475,0.101249561,0.131124562,0.061364304,0.150640578,0.815846995,0.72844074,automl\Xgboost_AutoMl_536
