,学习率,最大树深度,最小采样叶子节点,样本采样率,最大叶子节点,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,13
1366,0.1,6,7,0.6,13,0.854222575,0.924089262,0.104420924,0.142078771,0.114032075,0.151668175,0.859107468,0.702670491,automl\GBM_AutoMl_1366
1265,0.1,5,4,0.7,14,0.854198074,0.922707689,0.104914895,0.144004688,0.103448851,0.156843741,0.842258652,0.712590538,automl\GBM_AutoMl_1265
388,0.0625,5,5,1,13,0.854187664,0.917262329,0.100953426,0.130143541,0.039727763,0.152240759,0.759836066,0.718852318,automl\GBM_AutoMl_388
1299,0.1,5,6,0.9,12,0.854143118,0.925309651,0.101598883,0.140477987,0.097843144,0.154126306,0.83579235,0.703676724,automl\GBM_AutoMl_1299
970,0.0875,5,4,0.9,13,0.854090353,0.927101021,0.103292142,0.137815099,0.111118962,0.146982917,0.853187614,0.696479685,automl\GBM_AutoMl_970
282,0.05,8,6,1,12,0.854054885,0.934287717,0.085533846,0.11779246,0.071559284,0.127901755,0.735701275,0.729225908,automl\GBM_AutoMl_282
50,0.05,4,7,0.7,14,0.85398018,0.91460469,0.102245968,0.117053081,0.041215358,0.136273119,0.760928962,0.708861833,automl\GBM_AutoMl_50
337,0.0625,4,6,0.8,13,0.853973937,0.91703562,0.106234629,0.138601843,0.08035124,0.156310456,0.823132969,0.708862745,automl\GBM_AutoMl_337
1287,0.1,5,5,1,12,0.853944607,0.919805595,0.102345641,0.133671045,0.084426285,0.149113131,0.824134791,0.700170226,automl\GBM_AutoMl_1287
1206,0.1,4,4,0.8,12,0.853827629,0.920359711,0.103505491,0.133781831,0.087920772,0.147844375,0.822313297,0.70550086,automl\GBM_AutoMl_1206
1357,0.1,6,6,0.8,13,0.853776603,0.922113796,0.0985718,0.126818342,0.095748253,0.13645222,0.820856102,0.700828117,automl\GBM_AutoMl_1357
239,0.05,7,7,1,14,0.853681099,0.930234763,0.088421941,0.111795543,0.055020054,0.124610336,0.73151184,0.715577531,automl\GBM_AutoMl_239
1096,0.0875,7,5,0.6,13,0.853612082,0.91640231,0.102815803,0.127872419,0.07479637,0.143256845,0.803916211,0.706838565,automl\GBM_AutoMl_1096
716,0.075,5,7,0.9,14,0.853547242,0.92942892,0.103521899,0.151614431,0.109245119,0.16567532,0.851001821,0.70523416,automl\GBM_AutoMl_716
38,0.05,4,6,0.8,14,0.853494304,0.919150529,0.103636935,0.136195048,0.08970979,0.150048977,0.819489982,0.711867089,automl\GBM_AutoMl_38
582,0.0625,8,6,1,12,0.85342851,0.925563432,0.093541664,0.118048553,0.045124099,0.135319525,0.741165756,0.710556186,automl\GBM_AutoMl_582
