,字段名称,偏离度,完整度,自编写,person,spearman,kendall
210,状态-线索培育记录,0,3.26E-05,0.849058448,0.005333219,,
103,行业,0,3.26E-05,0.849058448,2.94E-05,,
3,名片,0,0,0.849058448,,,
22,客户运营类型,0,0,0.849058448,,,
54,渠道,0,0,0.849058448,,,
55,就职企业,0,0,0.849058448,,,
59,待培育原因,0,0,0.849058448,,,
60,辅助字段-分配CSM负责人,0,0,0.849058448,,,
69,下次跟进要点,0,0,0.849058448,,,
70,访客id,0,0,0.849058448,,,
71,访问地址,0,0,0.849058448,,,
72,您是否可以协助拉微信群？,0,0,0.849058448,,,
74,临时用户id,0,0,0.849058448,,,
75,是否有SaaS从业经历？,0,0,0.849058448,,,
80,市场活动参会名单编号,0,0,0.849058448,,,
83,官网访问来源网址,0,0,0.849058448,,,
88,活动现场是否有见面互动,0,0,0.849058448,,,
100,刷数据标记,0,0,0.849058448,,,
104,城市,0,0,0.849058448,,,
105,原始线索数据（线上）_唯一性ID,0,0,0.849058448,,,
106,原始线索数据（线上）,0,0,0.849058448,,,
108,最终沟通结果,0,0,0.849058448,,,
111,销售线索计划任务更新标记,0,0,0.849058448,,,
120,所属供应商_唯一性ID,0,0,0.849058448,,,
121,所属供应商,0,0,0.849058448,,,
123,搜索词,0,0,0.849058448,,,
127,是否培育转出,0,0,0.849058448,,,
129,企业人数,0,0,0.849058448,,,
131,线索提供人,0,0,0.849058448,,,
134,数据来源,0,0,0.849058448,,,
138,线索提供方_唯一性ID,0,0,0.849058448,,,
139,线索提供方,0,0,0.849058448,,,
146,您是否可以协助邀约见面？,0,0,0.849058448,,,
152,企业微信认证企业,0,0,0.849058448,,,
153,客户是否在公海中,0,0,0.849058448,,,
154,神策用户id,0,0,0.849058448,,,
155,参保人数-新,0,0,0.849058448,,,
157,下次跟进时间,0,0,0.849058448,,,
158,BD合作伙伴_唯一性ID,0,0,0.849058448,,,
159,BD合作伙伴,0,0,0.849058448,,,
162,营销通试用产品名称,0,0,0.849058448,,,
163,对方明确有CRM需求？,0,0,0.849058448,,,
164,预计收回时间,0,0,0.849058448,,,
165,二级-市场负责人,0,0,0.849058448,,,
168,剩余保有时间（小时）,0,0,0.849058448,,,
170,线索细分来源,0,0,0.849058448,,,
171,推荐人手机号,0,0,0.849058448,,,
172,认识对方关键决策人的时长？,0,0,0.849058448,,,
175,您如何了解到本次活动的？,0,0,0.849058448,,,
178,内容培育参与次数,0,0,0.849058448,,,
179,是否有SaaS销售经验？,0,0,0.849058448,,,
180,线索提供人手机,0,0,0.849058448,,,
184,市场负责人,0,0,0.849058448,,,
186,商机：企业名称,0,0,0.849058448,,,
187,渠道细分来源,0,0,0.849058448,,,
191,普通成员-只读,0,0,0.849058448,,,
192,普通成员-读写,0,0,0.849058448,,,
205,转换概率（%）,0,0,0.849058448,,,
211,培育形式-线索培育记录,0,0,0.849058448,,,
212,培育结果-线索培育记录,0,0,0.849058448,,,
